rater_id,pair_id,bug_id,project,patch_A,patch_B,stratum
R2,P097,Math-53,Math,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Patches_others__Dcorrect__CapGen__Math__patch1-Math-53-CapGen,Math|C-C|large
R2,P057,Lang-59,Lang,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-59-TBar,Patches_others__Doverfitting__CapGen__Lang__patch7-Lang-59-CapGen-plausible,Lang|C-O|medium
R1,P187,Closure-46,Closure,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-46-AVATAR,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-46-Arja-plausible,Closure|C-O|large
R3,P185,Closure-115,Closure,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg,Closure|C-C|medium
R3,P107,Chart-1,Chart,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-1-TBar,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-1-SOFix,Chart|C-C|small
R3,P096,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch8-Lang-59-CapGen-plausible,Patches_others__Doverfitting__CapGen__Lang__patch9-Lang-59-CapGen-plausible,Lang|O-O|small
R2,P046,Closure-73,Closure,Patches_others__Dcorrect__SequenceR__Closure__patch2-Closure-73-SequenceR,Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-73-TBar,Closure|C-C|small
R1,P066,Math-50,Math,Patches_ICSE__Doverfitting__jMutRepair__Math__patch1-Math-50-jMutRepair-plausible,Patches_ICSE__Ddifferent__jKali__Math__patch1-Math-50-jKali,Math|C-O|medium
R3,P106,Chart-24,Chart,Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-24-FixMiner,Patches_others__Dcorrect__Jaid__Chart__patch2-Chart-24-Jaid,Chart|C-C|medium
R2,P074,Chart-1,Chart,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-1-TBar,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart|C-O|medium
R2,P102,Math-50,Math,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-50-FixMiner-plausible,Patches_others__Dcorrect__Jaid__Math__patch1-Math-50-Jaid,Math|C-O|small
R3,P145,Chart-1,Chart,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-1-kPAR,Patches_others__Doverfitting__SketchFix__Chart__patch1-Chart-1-SketchFix-plausible,Chart|C-O|small
R3,P020,Lang-39,Lang,Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-39-SimFix,Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,Lang|C-O|large
R2,P136,Math-70,Math,Patches_ICSE__Dsame__TBar__Math__patch1-Math-70-TBar,Patches_others__Doverfitting__SketchFix__Math__patch2-Math-70-SketchFix-plausible,Math|C-O|medium
R3,P098,Math-89,Math,Patches_ICSE__Dsame__TBar__Math__patch1-Math-89-TBar,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-89-ACS,Math|C-C|medium
R2,P004,Chart-1,Chart,Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair,Patches_others__Doverfitting__SketchFix__Chart__patch2-Chart-1-SketchFix-plausible,Chart|C-O|small
R2,P157,Closure-92,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch7-Closure-92-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch10-Closure-92-SequenceR,Closure|O-O|small
R1,P009,Closure-115,Closure,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Closure|C-C|medium
R1,P051,Closure-114,Closure,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-114-GenProg-plausible,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-114-Kali-plausible,Closure|O-O|medium
R1,P186,Closure-126,Closure,Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-126-Jaid,Closure|C-C|small
R2,P166,Lang-63,Lang,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-63-AVATAR-plausible,Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-63-FixMiner-plausible,Lang|O-O|small
R3,P119,Closure-38,Closure,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Patches_others__Doverfitting__SequenceR__Closure__patch2-Closure-38-SequenceR,Closure|C-O|small
R2,P063,Math-85,Math,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Patches_others__Dcorrect__SOFix__Math__patch1-Math-85-SOFix,Math|C-C|medium
R1,P050,Closure-22,Closure,Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-22-SimFix-plausible,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-22-RSRepair-plausible,Closure|O-O|large
R3,P196,Lang-59,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Lang|C-O|small
R3,P187,Closure-46,Closure,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-46-AVATAR,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-46-Arja-plausible,Closure|C-O|large
R2,P019,Lang-6,Lang,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-6-SOFix,Patches_ICSE__Dsame__AVATAR__Lang__patch1-Lang-6-AVATAR,Lang|C-C|small
R2,P033,Math-80,Math,Patches_others__Doverfitting__CapGen__Math__patch8-Math-80-CapGen-plausible,Patches_others__Doverfitting__Jaid__Math__patch3-Math-80-Jaid-plausible,Math|O-O|medium
R3,P037,Chart-9,Chart,Patches_others__Dcorrect__Jaid__Chart__patch1-Chart-9-Jaid,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-9-TBar,Chart|C-C|small
R1,P079,Closure-115,Closure,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,Closure|C-C|large
R2,P035,Time-11,Time,Patches_ICSE__Doverfitting__DynaMoth__Time__patch1-Time-11-DynaMoth-plausible,Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,Time|O-O|large
R1,P111,Chart-25,Chart,Patches_ICSE__Doverfitting__jKali__Chart__patch1-Chart-25-jKali-plausible,Patches_ICSE__Doverfitting__SimFix__Chart__patch1-Chart-25-SimFix-plausible,Chart|O-O|large
R1,P072,Chart-11,Chart,Patches_others__Dcorrect__CapGen__Chart__patch2-Chart-11-CapGen,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-11-SOFix,Chart|C-C|small
R2,P048,Closure-62,Closure,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-62-jKali-plausible,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-62-SimFix,Closure|C-O|medium
R2,P112,Chart-1,Chart,Patches_others__Doverfitting__SequenceR__Chart__patch3-Chart-1-SequenceR,Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart|O-O|medium
R2,P142,Chart-1,Chart,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-1-SOFix,Patches_others__Dcorrect__SketchFix__Chart__patch1-Chart-1-SketchFix,Chart|C-C|small
R1,P116,Closure-62,Closure,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-62-Jaid,Patches_ICSE__Dsame__jMutRepair__Closure__patch1-Closure-62-jMutRepair,Closure|C-C|small
R2,P100,Math-85,Math,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-85-SequenceR,Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,Math|C-O|large
R1,P140,Math-82,Math,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-82-TBar-plausible,Patches_others__Doverfitting__Jaid__Math__patch3-Math-82-Jaid-plausible,Math|O-O|small
R3,P169,Math-5,Math,Patches_others__Dcorrect__SOFix__Math__patch1-Math-5-SOFix,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-5-SequenceR,Math|C-C|small
R2,P047,Closure-126,Closure,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-126-kPAR-plausible,Closure|C-O|large
R3,P019,Lang-6,Lang,Patches_ICSE__Dsame__AVATAR__Lang__patch1-Lang-6-AVATAR,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-6-SOFix,Lang|C-C|small
R2,P155,Closure-124,Closure,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-124-Arja-plausible,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-124-GenProg-plausible,Closure|O-O|large
R1,P189,Closure-18,Closure,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-18-Jaid,Patches_others__Doverfitting__SequenceR__Closure__patch3-Closure-18-SequenceR,Closure|C-O|small
R2,P156,Closure-21,Closure,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-21-jKali-plausible,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-21-Arja-plausible,Closure|O-O|medium
R3,P004,Chart-1,Chart,Patches_others__Doverfitting__SketchFix__Chart__patch2-Chart-1-SketchFix-plausible,Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair,Chart|C-O|small
R3,P049,Closure-126,Closure,Patches_ICSE__Doverfitting__jMutRepair__Closure__patch1-Closure-126-jMutRepair-plausible,Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,Closure|C-O|small
R3,P039,Chart-9,Chart,Patches_others__Doverfitting__Jaid__Chart__patch2-Chart-9-Jaid-plausible,Patches_others__Dcorrect__SketchFix__Chart__patch1-Chart-9-SketchFix,Chart|C-O|medium
R2,P160,Lang-6,Lang,Patches_others__Dcorrect__SketchFix__Lang__patch1-Lang-6-SketchFix,Patches_ICSE__Dsame__AVATAR__Lang__patch1-Lang-6-AVATAR,Lang|C-C|small
R1,P031,Math-85,Math,Patches_others__Dcorrect__Jaid__Math__patch1-Math-85-Jaid,Patches_others__Doverfitting__SequenceR__Math__patch6-Math-85-SequenceR,Math|C-O|small
R2,P082,Closure-115,Closure,Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-115-TBar-plausible,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure|C-O|large
R2,P051,Closure-114,Closure,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-114-Kali-plausible,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-114-GenProg-plausible,Closure|O-O|medium
R2,P002,Chart-14,Chart,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Patches_ICSE__Dsame__ACS__Chart__patch1-Chart-14-ACS,Chart|C-O|large
R3,P174,Math-85,Math,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Patches_others__Doverfitting__SequenceR__Math__patch16-Math-85-SequenceR,Math|O-O|medium
R2,P062,Math-5,Math,Patches_others__Dcorrect__Jaid__Math__patch2-Math-5-Jaid,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,Math|C-C|large
R3,P170,Math-53,Math,Patches_others__Doverfitting__Jaid__Math__patch2-Math-53-Jaid-plausible,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Math|C-O|large
R3,P135,Math-80,Math,Patches_others__Dcorrect__Jaid__Math__patch1-Math-80-Jaid,Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-80-DynaMoth-plausible,Math|C-O|large
R2,P016,Closure-21,Closure,Patches_ICSE__Doverfitting__jMutRepair__Closure__patch1-Closure-21-jMutRepair-plausible,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-21-Kali-plausible,Closure|O-O|small
R1,P043,Chart-1,Chart,Patches_ICSE__Doverfitting__jKali__Chart__patch1-Chart-1-jKali-plausible,Patches_others__Doverfitting__Jaid__Chart__patch1-Chart-1-Jaid-plausible,Chart|O-O|small
R2,P194,Lang-59,Lang,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-59-TBar,Lang|C-C|small
R1,P092,Lang-59,Lang,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Patches_others__Doverfitting__CapGen__Lang__patch5-Lang-59-CapGen-plausible,Lang|C-O|medium
R3,P009,Closure-115,Closure,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure|C-C|medium
R2,P070,Math-82,Math,Patches_others__Doverfitting__SequenceR__Math__patch3-Math-82-SequenceR,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-82-kPAR-plausible,Math|O-O|small
R3,P175,Math-85,Math,Patches_others__Doverfitting__SequenceR__Math__patch11-Math-85-SequenceR,Patches_others__Doverfitting__SequenceR__Math__patch13-Math-85-SequenceR,Math|O-O|small
R3,P024,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch4-Lang-59-CapGen-plausible,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Lang|O-O|medium
R1,P172,Math-85,Math,Patches_others__Doverfitting__Jaid__Math__patch1-Math-85-Jaid-plausible,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-85-SequenceR,Math|C-O|small
R1,P104,Math-81,Math,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-81-Arja-plausible,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-81-FixMiner-plausible,Math|O-O|medium
R1,P034,Math-85,Math,Patches_others__Doverfitting__SequenceR__Math__patch2-Math-85-SequenceR,Patches_others__Doverfitting__Jaid__Math__patch4-Math-85-Jaid-plausible,Math|O-O|small
R1,P164,Lang-13,Lang,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-13-TBar-plausible,Patches_ICSE__Doverfitting__RSRepair__Lang__patch1-Lang-13-RSRepair-plausible,Lang|O-O|large
R2,P058,Lang-59,Lang,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Patches_others__Doverfitting__CapGen__Lang__patch1-Lang-59-CapGen-plausible,Lang|C-O|small
R1,P088,Lang-10,Lang,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali,Lang|C-C|large
R2,P078,Chart-1,Chart,Patches_others__Doverfitting__SketchFix__Chart__patch2-Chart-1-SketchFix-plausible,Patches_others__Doverfitting__SequenceR__Chart__patch4-Chart-1-SequenceR,Chart|O-O|small
R3,P044,Closure-115,Closure,Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure|C-C|large
R1,P137,Math-32,Math,Patches_others__Dcorrect__Jaid__Math__patch1-Math-32-Jaid,Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-32-jKali-plausible,Math|C-O|small
R3,P091,Lang-10,Lang,Patches_ICSE__Doverfitting__SimFix__Lang__patch1-Lang-10-SimFix-plausible,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang|C-O|large
R2,P144,Chart-9,Chart,Patches_others__Doverfitting__Jaid__Chart__patch1-Chart-9-Jaid-plausible,Patches_others__Dcorrect__Jaid__Chart__patch1-Chart-9-Jaid,Chart|C-O|medium
R3,P022,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch9-Lang-59-CapGen-plausible,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-59-CapGen,Lang|C-O|small
R2,P026,Math-53,Math,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Patches_ICSE__Dsame__SimFix__Math__patch1-Math-53-SimFix,Math|C-C|large
R1,P052,Closure-93,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch4-Closure-93-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch9-Closure-93-SequenceR,Closure|O-O|small
R3,P113,Chart-25,Chart,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible,Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-25-Kali-plausible,Chart|O-O|small
R1,P171,Math-80,Math,Patches_others__Doverfitting__Jaid__Math__patch1-Math-80-Jaid-plausible,Patches_others__Dcorrect__CapGen__Math__patch1-Math-80-CapGen,Math|C-O|medium
R2,P128,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch8-Lang-59-CapGen-plausible,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Lang|C-O|small
R3,P036,Chart-26,Chart,Patches_others__Dcorrect__Jaid__Chart__patch2-Chart-26-Jaid,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-26-SOFix,Chart|C-C|medium
R2,P087,Closure-92,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch9-Closure-92-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch3-Closure-92-SequenceR,Closure|O-O|small
R3,P104,Math-81,Math,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-81-Arja-plausible,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-81-FixMiner-plausible,Math|O-O|medium
R1,P070,Math-82,Math,Patches_others__Doverfitting__SequenceR__Math__patch3-Math-82-SequenceR,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-82-kPAR-plausible,Math|O-O|small
R3,P176,Chart-24,Chart,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-24-SOFix,Patches_others__Dcorrect__Jaid__Chart__patch2-Chart-24-Jaid,Chart|C-C|medium
R2,P015,Closure-63,Closure,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-63-jKali-plausible,Patches_others__Doverfitting__Jaid__Closure__patch1-Closure-63-Jaid-plausible,Closure|O-O|medium
R1,P012,Closure-115,Closure,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-115-kPAR-plausible,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Closure|C-O|medium
R1,P089,Lang-51,Lang,Patches_others__Dcorrect__Jaid__Lang__patch1-Lang-51-Jaid,Patches_others__Dcorrect__Jaid__Lang__patch5-Lang-51-Jaid,Lang|C-C|medium
R1,P094,Lang-44,Lang,Patches_ICSE__Doverfitting__Nopol__Lang__patch1-Lang-44-Nopol-plausible,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-44-kPAR-plausible,Lang|O-O|large
R2,P145,Chart-1,Chart,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-1-kPAR,Patches_others__Doverfitting__SketchFix__Chart__patch1-Chart-1-SketchFix-plausible,Chart|C-O|small
R1,P122,Closure-86,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch5-Closure-86-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch2-Closure-86-SequenceR,Closure|O-O|small
R2,P069,Math-85,Math,Patches_others__Doverfitting__CapGen__Math__patch3-Math-85-CapGen-plausible,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,Math|O-O|medium
R3,P180,Chart-1,Chart,Patches_others__Doverfitting__SketchFix__Chart__patch1-Chart-1-SketchFix-plausible,Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair,Chart|C-O|small
R2,P192,Closure-18,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch4-Closure-18-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch1-Closure-18-SequenceR,Closure|O-O|small
R2,P122,Closure-86,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch2-Closure-86-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch5-Closure-86-SequenceR,Closure|O-O|small
R1,P154,Closure-62,Closure,Patches_others__Doverfitting__Jaid__Closure__patch1-Closure-62-Jaid-plausible,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-62-SimFix,Closure|C-O|small
R3,P109,Chart-26,Chart,Patches_ICSE__Doverfitting__jMutRepair__Chart__patch1-Chart-26-jMutRepair-plausible,Patches_others__Dcorrect__Jaid__Chart__patch3-Chart-26-Jaid,Chart|C-O|medium
R3,P178,Chart-14,Chart,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-14-FixMiner-plausible,Patches_ICSE__Dsame__ACS__Chart__patch1-Chart-14-ACS,Chart|C-O|large
R1,P138,Math-80,Math,Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-80-jKali-plausible,Patches_ICSE__Doverfitting__jMutRepair__Math__patch1-Math-80-jMutRepair-plausible,Math|O-O|large
R3,P163,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch2-Lang-59-CapGen-plausible,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-59-TBar,Lang|C-O|small
R3,P122,Closure-86,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch2-Closure-86-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch5-Closure-86-SequenceR,Closure|O-O|small
R2,P193,Lang-51,Lang,Patches_others__Dcorrect__Jaid__Lang__patch5-Lang-51-Jaid,Patches_others__Dcorrect__Jaid__Lang__patch4-Lang-51-Jaid,Lang|C-C|medium
R3,P010,Closure-126,Closure,Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Closure|C-C|small
R2,P125,Lang-59,Lang,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-59-TBar,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-59-CapGen,Lang|C-C|small
R3,P087,Closure-92,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch3-Closure-92-SequenceR,Patches_others__Doverfitting__SequenceR__Closure__patch9-Closure-92-SequenceR,Closure|O-O|small
R3,P148,Chart-26,Chart,Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-26-Kali-plausible,Patches_ICSE__Doverfitting__jMutRepair__Chart__patch1-Chart-26-jMutRepair-plausible,Chart|O-O|small
R2,P187,Closure-46,Closure,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-46-Arja-plausible,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-46-AVATAR,Closure|C-O|large
